disease,drug,se
TB,Rifampin,Abdominal discomfort
TB,Rifampin,Acute haemolytic anaemia
TB,Rifampin,Acute interstitial nephritis
TB,Rifampin,Bleeding breakthrough
TB,Rifampin,Digestion impaired
TB,Rifampin,Epigastric distress
TB,Rifampin,Hepatocellular injury
TB,Rifampin,Infestation NOS
TB,Rifampin,Liver function test abnormal
TB,Rifampin,Numbness generalized
TB,Rifampin,Pemphigoid reaction
TB,Rifampin,Pseudomembranous colitis
TB,Rifampin,Reaction gastrointestinal
TB,Rifampin,Sore mouth
TB,Rifampin,Unspecified disorder of skin and subcutaneous tissue
TB,Rifampin,Visual disturbance
TB,Isoniazid,Diabetic
TB,Isoniazid,Epigastric distress
TB,Isoniazid,Eruption
TB,Isoniazid,Hepatitis symptom
TB,Isoniazid,Hepatocellular injury
TB,Isoniazid,Malaise and fatigue
TB,Isoniazid,Paraesthesia foot
TB,Isoniazid,Reaction gastrointestinal
TB,Isoniazid,Toxic encephalopathy
TB,Pyrazinamide,Digestion impaired
TB,Pyrazinamide,Gout acute
TB,Pyrazinamide,Hepatotoxicity
TB,Pyrazinamide,Hyperplasia erythroid
TB,Pyrazinamide,Liver tenderness
TB,Pyrazinamide,Polyarthralgia
TB,Pyrazinamide,Serum iron increased
TB,Ethambutol,Anaphylactoid reaction
TB,Ethambutol,Disorientation
TB,Ethambutol,Gastrointestinal tract irritation
TB,Ethambutol,Gout acute
TB,Ethambutol,Hypersensitive syndrome
TB,Ethambutol,Liver function test abnormal
TB,Ethambutol,Neuritis retrobulbar
TB,Ethambutol,Tingling of extremity
TB,Ethambutol,Visual acuity reduced
TB,Kanamycin,Drug fever
TB,Kanamycin,Nephropathy toxic
TB,Kanamycin,Nephrotoxicity
TB,Kanamycin,Ototoxicity
TB,Kanamycin,Vestibular toxicity
TB,Streptomycin,Nephrotoxicity
TB,Streptomycin,Ototoxicity
TB,Streptomycin,Unable to walk
TB,Capreomycin,Injection site haemorrhage
TB,Capreomycin,Nephrotoxicity
TB,Capreomycin,Ototoxicity
TB,Capreomycin,Reaction febrile
TB,Capreomycin,Urine abnormality
TB,Amikacin,Drug fever
TB,Amikacin,Nephropathy toxic
TB,Amikacin,Nephrotoxicity
TB,Amikacin,Ototoxicity
TB,Levofloxacin,Abnormal vision
TB,Levofloxacin,Acute overdose
TB,Levofloxacin,Anaphylactoid reaction
TB,Levofloxacin,Application site reaction
TB,Levofloxacin,Blood urea increased
TB,Levofloxacin,Bullous eruption
TB,Levofloxacin,CNS depression NOS
TB,Levofloxacin,Candiduria
TB,Levofloxacin,Cerebral thrombosis
TB,Levofloxacin,Chemical conjunctivitis
TB,Levofloxacin,Condition aggravated
TB,Levofloxacin,Coordination abnormal
TB,Levofloxacin,Corneal erosion
TB,Levofloxacin,Cramps of lower extremities
TB,Levofloxacin,Cross resistance
TB,Levofloxacin,Crystalluria
TB,Levofloxacin,Decreased appetite
TB,Levofloxacin,Diabetic
TB,Levofloxacin,Disorientation
TB,Levofloxacin,Distress gastrointestinal
TB,Levofloxacin,Dry eye
TB,Levofloxacin,Ear haemorrhage
TB,Levofloxacin,Electroencephalogram abnormal
TB,Levofloxacin,Electrolyte abnormality
TB,Levofloxacin,Eye oedema
TB,Levofloxacin,Eye pruritus
TB,Levofloxacin,Eyelids pruritus
TB,Levofloxacin,Feeling of body temperature change
TB,Levofloxacin,Function kidney decreased
TB,Levofloxacin,Gastrointestinal symptom NOS
TB,Levofloxacin,Genital candidiasis
TB,Levofloxacin,Glucose low
TB,Levofloxacin,Hepatic enzyme increased
TB,Levofloxacin,Hepatitis acute
TB,Levofloxacin,Hepatitis symptom
TB,Levofloxacin,Hepatotoxicity
TB,Levofloxacin,Hypertension worsened
TB,Levofloxacin,Hyposthenuria
TB,Levofloxacin,Infestation NOS
TB,Levofloxacin,Injection site inflammation
TB,Levofloxacin,Injection site pain
TB,Levofloxacin,Injection site swelling
TB,Levofloxacin,Instillation site irritation
TB,Levofloxacin,Interstitial pneumonia
TB,Levofloxacin,Kidney function abnormal
TB,Levofloxacin,Lacrimation increased
TB,Levofloxacin,Leg pain
TB,Levofloxacin,Lenticular opacities
TB,Levofloxacin,Lightheadedness
TB,Levofloxacin,Manic psychosis
TB,Levofloxacin,Mood swings
TB,Levofloxacin,Muscle contractions involuntary
TB,Levofloxacin,Muscle enzyme increased
TB,Levofloxacin,Muscle injury
TB,Levofloxacin,Neutrophilia
TB,Levofloxacin,Oropharyngeal swelling
TB,Levofloxacin,Partial hearing loss
TB,Levofloxacin,Phosphatase alkaline increased
TB,Levofloxacin,Potassium low
TB,Levofloxacin,Prothrombin level decreased
TB,Levofloxacin,Prothrombin level increased
